iter	Passed	Remaining
442	1220	1534
443	1222	1530
444	1224	1527
445	1227	1524
446	1229	1521
447	1232	1518
448	1234	1515
449	1236	1511
450	1239	1508
451	1241	1505
452	1244	1502
453	1246	1499
454	1249	1496
455	1251	1493
456	1253	1489
457	1256	1486
458	1258	1483
459	1261	1480
460	1263	1477
461	1266	1474
462	1268	1471
463	1270	1468
464	1273	1464
465	1275	1462
466	1278	1459
467	1280	1455
468	1283	1452
469	1285	1449
470	1287	1446
471	1290	1443
472	1292	1440
473	1295	1437
474	1298	1435
475	1300	1432
476	1303	1429
477	1306	1426
478	1308	1423
479	1311	1420
480	1313	1417
481	1315	1413
482	1317	1410
483	1320	1407
484	1323	1405
485	1325	1402
486	1327	1398
487	1330	1395
488	1332	1392
489	1334	1389
490	1337	1386
491	1340	1383
492	1342	1380
493	1344	1377
494	1347	1374
495	1349	1371
496	1352	1368
497	1355	1366
498	1357	1363
499	1360	1360
500	1362	1357
501	1364	1354
502	1367	1351
503	1370	1348
504	1372	1345
505	1374	1341
506	1376	1338
507	1379	1335
508	1381	1332
509	1384	1330
510	1386	1327
511	1389	1324
512	1391	1321
513	1394	1318
514	1396	1315
515	1399	1312
516	1401	1309
517	1403	1306
518	1406	1303
519	1408	1300
520	1411	1297
521	1414	1295
522	1416	1291
523	1418	1288
524	1420	1285
525	1423	1282
526	1425	1279
527	1428	1277
528	1430	1274
529	1433	1270
530	1435	1267
531	1437	1264
532	1440	1261
533	1442	1259
534	1445	1256
535	1447	1253
536	1450	1250
537	1452	1247
538	1454	1244
539	1457	1241
540	1459	1238
541	1462	1235
542	1464	1232
543	1467	1229
544	1469	1226
545	1471	1223
546	1474	1221
547	1476	1218
548	1479	1215
549	1481	1212
550	1484	1209
551	1486	1206
552	1489	1204
553	1492	1201
554	1494	1198
555	1496	1195
556	1499	1192
557	1501	1189
558	1504	1186
559	1506	1183
560	1508	1180
561	1511	1177
562	1513	1174
563	1515	1171
564	1518	1169
565	1521	1166
566	1523	1163
567	1525	1160
568	1528	1157
569	1531	1155
570	1534	1152
571	1536	1149
572	1539	1147
573	1542	1144
574	1545	1142
575	1547	1139
576	1550	1136
577	1553	1134
578	1555	1131
579	1558	1128
580	1560	1125
581	1562	1122
582	1565	1119
583	1568	1117
584	1570	1114
585	1572	1111
586	1575	1108
587	1577	1105
588	1580	1102
589	1582	1099
590	1584	1096
591	1587	1093
592	1589	1090
593	1591	1087
594	1594	1085
595	1596	1082
596	1599	1079
597	1601	1076
598	1604	1073
599	1606	1070
600	1608	1068
601	1611	1065
602	1614	1062
603	1616	1059
604	1618	1056
605	1621	1054
606	1623	1051
607	1626	1048
608	1628	1045
609	1631	1042
610	1633	1039
611	1635	1037
612	1638	1034
613	1640	1031
614	1643	1028
615	1645	1025
616	1648	1023
617	1650	1020
618	1652	1017
619	1655	1014
620	1658	1012
621	1660	1009
622	1663	1006
623	1665	1003
624	1667	1000
625	1670	998
626	1672	995
627	1675	992
628	1677	989
629	1679	986
630	1682	983
631	1684	980
632	1687	978
633	1689	975
634	1692	972
635	1694	969
636	1696	966
637	1699	964
638	1701	961
639	1704	958
640	1706	955
641	1709	953
642	1711	950
643	1713	947
644	1716	944
645	1719	942
646	1721	939
647	1723	936
648	1726	933
649	1728	930
650	1731	928
